z,residual
1.822000000000000008e-02,2.779119193383592923e-01
1.835000000000000173e-02,7.371619091521661726e-01
1.835000000000000173e-02,7.528392391316742760e-01
1.839000000000000010e-02,3.828977949627566935e-02
1.850999999999999868e-02,7.739345160447026473e-01
1.850999999999999868e-02,5.811014937452263496e-01
1.855000000000000052e-02,-2.437874193748739149e-01
1.870000000000000134e-02,2.898945571784182551e+00
1.901999999999999871e-02,4.130705240478108609e-01
1.917999999999999913e-02,2.145582017691242793e+00
1.924999999999999975e-02,-1.036046844933972005e-01
1.924999999999999975e-02,1.942435789483643316e-01
1.925999999999999934e-02,4.242996457710130898e-01
1.925999999999999934e-02,-6.225532708264187171e-02
1.925999999999999934e-02,2.969907900111908861e-01
1.925999999999999934e-02,6.846514012282116646e-01
1.948000000000000079e-02,6.891770865804232038e-01
1.955000000000000140e-02,1.137033976761129717e+00
1.955000000000000140e-02,1.309152258010517045e+00
1.975999999999999979e-02,-3.206201523999376857e-01
1.977999999999999897e-02,5.424340024289558970e-01
1.983000000000000040e-02,1.443517115557330754e+00
1.992000000000000021e-02,2.281187817282073482e-01
1.992999999999999980e-02,3.223644208923483467e-01
2.001000000000000001e-02,4.242037093621018329e-01
2.014000000000000165e-02,-2.137574577896440009e-01
2.017000000000000043e-02,-1.577189700636549008e-01
2.018999999999999961e-02,7.981049175919847638e-01
2.018999999999999961e-02,-1.293119569991020568e-01
2.033000000000000085e-02,-5.623461728241837543e-01
2.033000000000000085e-02,3.287496965584222330e-01
2.038999999999999840e-02,-2.672163055589704128e-01
2.045999999999999902e-02,5.296755680049193282e-01
2.060999999999999985e-02,-1.160834937179983539e+00
2.066000000000000128e-02,-5.504523119032370682e-01
2.066000000000000128e-02,-6.112241022909087329e-01
2.066000000000000128e-02,-9.495376281139515928e-01
2.078999999999999945e-02,-6.105529982711613846e-01
2.086999999999999966e-02,-9.754305192827536497e-02
2.086999999999999966e-02,-2.421215316712619359e-01
2.093000000000000069e-02,-1.614331333518332245e+00
2.103999999999999967e-02,-2.619018124149227744e-01
2.120999999999999969e-02,-3.586362326300606695e-01
2.139999999999999888e-02,2.282301329219982994e-02
2.139999999999999888e-02,8.819038136477407031e-02
2.145999999999999991e-02,1.158703788983048710e+00
2.145999999999999991e-02,1.471846859070716995e+00
2.156999999999999890e-02,8.241734092654263294e-03
2.161000000000000074e-02,1.805245311512440054e-01
2.161000000000000074e-02,1.938201155430996081e-01
